번호,제목,저자,출판사,출판일
78,Fuzzy rule based classification systems for big data with MapReduce: granularity analysis,"Fernández, A.; Río, S.; Bawakid, A.; Herrera, F.",Springer Science + Business Media,2017
79,How China Deals with Big Data,"Shi, Y.; Shan, Z.; Li, J.; Fang, Y.",Springer Science + Business Media,2017
80,Flexible Heavy Tailed Distributions for Big Data,"Zhang, Y.; Nadarajah, S.",Springer Science + Business Media,2017
81,Smart city big data analytics: An advanced review,"Soomro, Kamran; Bhutta, Muhammad Nasir Mumtaz; Khan, Zaheer; Tahir, Muhammad A.",John Wiley & Sons Ltd,2019
82,Cell phone big data to compute mobility scenarios for future smart cities,"Tosi, D.",Springer Science + Business Media,2017
83,Online updating method to correct for measurement error in big data streams,"Lee, JooChul; Wang, HaiYing; Schifano, Elizabeth D.","Elsevier Science B.V., Amsterdam.",2020
84,A Holistic View of Big Data,Won Kim; Ok-Ran Jeong; Chulyun Kim,Idea Group Pub,2014
85,Efficient Skyline Computation on Big Data,"Xixian, H.; Jianzhong, L.; Donghua, Y.; Jinbao, W.",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2013
86,Analysing repeat blood donation behavior via big data,"Chen, Xu; Liu, Lei; Guo, Xinyu",Emerald Group Publishing Limited,2020
87,Comparing world regional sustainable supply chain finance using big data analytics: a bibliometric analysis,"Tseng, Ming-Lang; Bui, Tat-Dat; Lim, Ming K.; Tsai, Feng Ming; Tan, Raymond R.",Emerald Group Publishing Limited,2021
88,Unlocking causal relations of barriers to big data analytics in manufacturing firms,"Raut, Rakesh; Narwane, Vaibhav; Kumar Mangla, Sachin; Yadav, Vinay Surendra; Narkhede, Balkrishna Eknath; Luthra, Sunil",Emerald Group Publishing Limited,2021
89,Telecom fraud detection with big data analytics,"Terzi, Duygu Sinanç; Sağıroğlu, Şeref; Kılınç, Hakan",Inderscience,2022
90,An intelligent approach to Big Data analytics for sustainable retail environment using Apriori-MapReduce framework,"Verma, Neha; Singh, Jatinder",Emerald Group Publishing Limited,2017
91,Application of hyper-convergent platform for big data in exploring regional innovation systems,"Finogeev, Alexey G.; Gamidullaeva, Leyla A.; Vasin, Sergey M.",Inderscience,2020
92,Scalable machine‐learning algorithms for big data analytics: a comprehensive review,"Gupta, Preeti; Sharma, Arun; Jindal, Rajni",John Wiley & Sons Ltd,2016
93,Incremental Query Processing on Big Data Streams,"Fegaras, L.",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2016
94,Modeling and Evaluating the Effects of Big Data Storage Resource Allocation in Global Scale Cloud Architectures,Enrico Barbierato; Marco Gribaudo; Mauro Iacono,Idea Group Pub,2016
95,An insight into application of big data analytics in healthcare,"Nalluri, Sravani; Sasikala, R.",Inderscience,2020
96,Predicting the ratings of Amazon products using Big Data,"Woo, Jongwook; Mishra, Monika",John Wiley & Sons Ltd,2021
97,Supervised compression of big data,"Joseph, V. Roshan; Mak, Simon","John Wiley & Sons, Ltd",2021
98,Advancing science and technology with big data analytics,"Li, Jia","John Wiley & Sons, Ltd",2018
99,Distributed subdata selection for big data via sampling-based approach,"Zhang, Haixiang; Wang, HaiYing","Elsevier Science B.V., Amsterdam.",2021
100,Detection of stragglers and optimal rescheduling of slow running tasks in big data environment using LFCSO-LVQ classifier and enhanced PSO algorithm,"Joshiara, Hetal A.; Thaker, Chirag S.; Shah, Sanjay M.; Choksi, Darshan B.",Inderscience,2022
1,MR plot: A big data tool for distinguishing distributions,"Ardakani, Omid M.; Asadi, Majid; Ebrahimi, Nader; Soofi, Ehsan S.","John Wiley & Sons, Ltd",2020
2,A Framework for Evaluating Design Methodologies for Big Data Warehouses: Measurement of the Design Process,Francesco Di Tria; Ezio Lefons; Filippo Tangorra,Idea Group Pub,2018
3,Bayesian consensus clustering with LIME for security in big data,"Balamurugan, S.; Thangaraj, M.",Inderscience,2021
4,Stakeholder Perceptions and Word-of-Mouth on CSR Dynamics: A Big Data Analysis from Twitter,Andrée Marie López-Fernández; Zamira Burgos Silva,"Idea Group Pub.,",2018
5,Exploring the paths to big data analytics implementation success in banking and financial service: an integrated approach,"Hajiheydari, Nastaran; Delgosha, Mohammad Soltani; Wang, Yichuan; Olya, Hossein",Emerald Group Publishing Limited,2021
6,A watchdog approach - name-matching algorithm for big data risk intelligence,"Kirubakaran, Anusuya; Aramudhan, M.",Inderscience,2018
7,Barriers of embedding big data solutions in smart factories: insights from SAP consultants,"Li, Shuyang; Peng, Guo Chao; Xing, Fei",Emerald Group Publishing Limited,2019
8,Responding to market turbulence by big data analytics and mass customization capability,"Sheng, Hongyan; Feng, Taiwen; Chen, Lucheng; Chu, Dianhui",Emerald Group Publishing Limited,2021
9,A Novel Pipeline Approach for Efficient Big Data Broadcasting,"Wu, C.; Ku, C.; Ho, J.; Chen, M.",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2016
10,An uncertainty measure and fusion rule for conflict evidences of big data via Dempster–Shafer theory,"Dutta, Palash",Taylor & Francis,2018
11,"A Survey on Spark Ecosystem: Big Data Processing Infrastructure, Machine Learning, and Applications","Tang, Shanjiang; He, Bingsheng; Yu, Ce; Li, Yusen; Li, Kun",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2021
12,A Multi-Step Nonlinear Dimension-Reduction Approach with Applications to Big Data,unknown,IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2019
13,K Nearest Neighbour Joins for Big Data on MapReduce: A Theoretical and Experimental Analysis,"Song, G.; Rochas, J.; Beze, L. E.; Huet, F.; Magoules, F.",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2016
14,Distributed Bayesian Matrix Decomposition for Big Data Mining and Clustering,"Zhang, Chihao; Yang, Yang; Zhou, Wei; Zhang, Shihua",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2020
15,VA-Store: A Virtual Approximate Store Approach to Supporting Repetitive Big Data in Genome Sequence Analyses,unknown,IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2020
16,Web Media and Stock Markets : A Survey and Future Directions from a Big Data Perspective,"Li, Q.; Chen, Y.; Wang, J.; Chen, Y.; Chen, H.",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2018
17,A Privacy-Preserving Distributed Contextual Federated Online Learning Framework with Big Data Support in Social Recommender Systems,"Zhou, Pan; Wang, Kehao; Guo, Linke; Gong, Shimin; Zheng, Bolong",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2021
18,Bias Correction in a Small Sample from Big Data,"Jianguo, L.; Dingding, L.",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2013
19,A Semi-Automatic Design Methodology for (Big) Data Warehouse Transforming Facts into Dimensions,"Sautot, Lucile; Bimonte, Sandro; Journaux, Ludovic",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2020
20,i$^2$ MapReduce: Incremental MapReduce for Mining Evolving Big Data,"Yanfeng, Z.; Shimin, C.; Qiang, W.; Ge, Y.",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2015
21,Security and Privacy Implications on Database Systems in Big Data Era: A Survey,"Samaraweera, G. Dumindu; Chang, J. Morris",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2020
22,Enhanced Graph Transforming V2 Algorithm for Non-Simple Graph in Big Data Pre-Processing,"Sutedi, Sutedi",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2019
23,Bit-Oriented Sampling for Aggregation on Big Data,"Hu, Huan; Li, Jianzhong",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2021
24,T-PCCE: Twitter Personality based Communicative Communities Extraction System for Big Data,"Kafeza, Eleanna; Kanavos, Andreas; Makris, Christos; Pispirigos, Georgios; Vikatos, Pantelis",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2020
25,On the Feasibility of Distributed Kernel Regression for Big Data,"Xu, Chen; Zhang, Yongquan; Li, Runze; Wu, Xindong",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2016
26,Mining Suspicious Tax Evasion Groups in Big Data,"Tian, F.; Lan, T.; Chao, K.; Godwin, N.; Zheng, Q.; Shah, N.; Zhang, F.",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2016
27,"Towards Big Linked Data: A Large-Scale, Distributed Semantic Data Storage",Bo Hu; Nuno Carvalho; Takahide Matsutsuka,Idea Group Pub,2013
28,A Data-Driven Sequential Localization Framework for Big Telco Data,"Zhu, Fangzhou; Yuan, Mingxuan; Xie, Xike; Wang, Ting; Zhao, Shenglin; Rao, Weixiong; Zeng, Jia",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2021
29,Effective and efficient distributed management of big clinical data: a framework,"Cuzzocrea, Alfredo; Grasso, Giorgio Mario; Nolich, Massimiliano",Inderscience,2019
30,A Scalable Data Chunk Similarity Based Compression Approach for Efficient Big Sensing Data Processing on Cloud,"Yang, C.; Chen, J.",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2017
31,A Scalable Multi-Data Sources Based Recursive Approximation Approach for Fast Error Recovery in Big Sensing Data on Cloud,"Yang, Chi; Xu, Xianghua; Ramamohanarao, Kotagiri; Chen, Jinjun",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2020
32,Extracting Kernel Dataset from Big Sensory Data in Wireless Sensor Networks,"Cheng,  Siyao; Cai,  Zhipeng; Li,  Jianzhong; Gao,  Hong",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2017
33,Skia: Scalable and Efficient In-Memory Analytics for Big Spatial-Textual Data,"Xu, Yang; Yao, Bin; Wang, Zhi-Jie; Gao, Xiaofeng; Xie, Jiong; Guo, Minyi",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2020
34,Scalable Algorithms for Nearest-Neighbor Joins on Big Trajectory Data,"Fang,  Yixiang; Cheng,  Reynold; Tang,  Wenbin; Maniu,  Silviu; Yang,  Xuan",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2016
35,Parallel Fractional Hot-Deck Imputation and Variance Estimation for Big Incomplete Data Curing,"Yang, Yicheng; Kim, Jae Kwang; Cho, In Ho",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2020
36,Efficient and Distributed Generalized Canonical Correlation Analysis for Big Multiview Data,unknown,IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2019
37,Incremental Factorization of Big Time Series Data with Blind Factor Approximation,"Chen, Dan; Tang, Yunbo; Zhang, Hao; Wang, Lizhe; Li, Xiaoli",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2021
38,Vecchia–Laplace approximations of generalized Gaussian processes for big non-Gaussian spatial data,"Zilber, Daniel; Katzfuss, Matthias","Elsevier Science B.V., Amsterdam.",2021
39,Emulated order identification for models of big time series data,"Wu, Brian; Drignei, Dorin","John Wiley & Sons, Ltd",2021
40,Handling Big Dimensions in Distrubted Data Warehouses using the DWS Technique,"Costa, M.; Madeira, H.","ACM,",2004
41,Data access as a big competitive advantage: evidence from China's car-hailing platforms,"Huang, Lei; Zhao, Yandong; He, Guangxi; Lu, Yangxu; Zhang, Juanjuan; Wu, Peiyi",Emerald Publishing,2020
42,EU data privacy laws face big shake-up,"Mullock, J.",Palgrave Macmillan,2012
43,"Archeological Data Recovery at Site 41BS908: A 9,000 Year-old Site in the Chisos Basin, Big Bend National Park","Alex, T. C.",CENTER FOR BIG BEND STUDIES SUL ROS STATE UNIVERSITY,1999
44,Big-data: transformation from heterogeneous data to semantically-enriched simplified data,"Malik, K. R.",Springer Science + Business Media,2016
45,"`Big data' and the analytics course Given student expectations and industry demands, it's time to re-frame content to make analytics course big-data friendly","Bell, P.C.",INSTITUTE FOR OPERATIONS RESEARCH AND THE MANAGEMENT,2014
46,Big Data im Labor der Zukunft Big-Data-Anwendungen im Labor - Chancen & Herausforderungen,unknown,VOGEL VERLAG UND DRUCK KG,2016
47,"Editorial Commentary: ""Mo' Data, Mo' Problems""? ""Big Data"" From National Database Studies in Orthopaedic Research and Concerns Over Generalizability","Saltzman, Bryan M.","Elsevier Science B.V., Amsterdam",2019
48,Working the fields of big data: Using big-data-augmented online ethnography to study candidate–candidate interaction at election time,"Laaksonen, Salla-Maaria; Nelimarkka, Matti; Tuokko, Mari; Marttila, Mari; Kekkonen, Arto; Villi, Mikko",Taylor and Francis,2017
49,"Oracle Sparc Accelerates Big Data Oracle's recent Sparc processors integrate hardware acceleration for database software, big-data analytics, and security. They also enable compression of in-memory databases",unknown,MICRODESIGN RESOURCES,2016
50,32.5 ARE YOU READY FOR BIG DATA? GOVERNANCE IN BIG-DATA RESEARCH,"Scheepers, Floortje E.; Deschamps, Peter",Elsevier,2016
51,32.5 ARE YOU READY FOR BIG DATA? GOVERNANCE IN BIG-DATA RESEARCH,"Scheepers, F. E.; Deschamps, P.",Elsevier,2016
52,Hazy: Making It Easier to Build and Maintain Big-Data Analytics Racing to unleash the full potential of big data with the latest statistical and machine-learning techniques,"Kumar, A.; Niu, F.; Re, C.",ACM ASSOCIATION FOR COMPUTING MACHINERY,2013
53,Big-Data for Satellite Yearly Reports Generation (AIAA 2018-2368),"Hennion, Nicolas",AIAA,2018
54,Big-Data Analytics transformiert die Lebenswissenschaften,"Sbalzarini, Ivo F.",Springer Nature,2019
55,Big-Data Science: Infrastructure Impact,"Monga, Inder; Prabhat,",INDIAN NATIONAL SCIENCE ACADEMY,2018
56,Big-Data-Driven Stem Cell Science and Tissue Engineering: Vision and Unique Opportunities,"Del Sol, Antonio; Thiesen, Hans J.; Imitola, Jaime; Carazo Salas, Rafael E.",ELSEVIER SCIENCE B.V; AMSTERDAM,2017
57,Big-Data Approaches for Bioinformatics Workflows: A Comparative Assessment,"Nunes,  Rickey T. P.; Deshpande,  Santosh L.",Springer,2016
58,Big-Sensing-Data Curation for the Cloud is Coming: A Promise of Scalable Cloud-Data-Center Mitigation for Next-Generation IoT and Wireless Sensor Networks,"Yang, C.; Puthal, D.; Mohanty, S.; Kougianos, E.",IEEE,2017
59,Big-data analysis for carbon emission reduction from cars: Towards walkable green smart community,"Yamagata, Yoshiki; Murakami, Daisuke; Wu, Yihan; Yang, Perry Pei-Ju; Yoshida, Takahiro; Binder, Robert","Elsevier Science B.V., Amsterdam",2019
60,Big-data Feature Screening Using Bregman Divergence,"Cheng, J.; Cheng, Q.; Zargham, M.",United States; CSREA,2011
61,Big-Data Based Online State of Charge Estimation and Energy Consumption Prediction for Electric Vehicles,"Zhang,  Zhiyun; Huang,  Miaohua; Chen,  Yupu; Gao,  Dong",Society of Automotive Engineers,2016
62,BIG-DATA APPROACHES TO PROTEIN STRUCTURE PREDICTION Metagenomics sequence data give protein structure prediction a boost,"Söding,  J.",AMERICAN ASSOCIATION FOR THE ADVANCEMENT OF SCIENCE,2017
63,Big-data clustering with interval type-2 fuzzy uncertainty modeling in gene expression datasets,"Shukla, Amit K.; Muhuri, Pranab K.","Elsevier Science B.V., Amsterdam.",2019
64,Big-Data Method to Advance Public Health Informatics: Smarter Public Health Prevention System (SPHPS),"Jalali,  Arash; Rahden,  Douglas; Heintz,  Joerg; Filla,  Greg; DiNovi,  Jason; Mensah,  Edward",American Medical Informatics Association,2016
65,Big-Data-Geschäftsmodelle — die drei Seiten der Medaille,"Hecker, D.",Springer Science + Business Media,2016
66,Big-data x-ray phase contrast imaging simulation challenges [9594-17],unknown,The Society,2015
67,Big-data-driven operational analysis and decision-making methodology in intelligent workshop,"Zhang,  Jie; Gao,  Liang; Qin,  Wei; Lyu,  Youlong; Li,  Xinyu",EDITORIAL DEPARTMENT OF CIMS,2016
68,Big-Data-Based Power Battery Recycling for New Energy Vehicles: Information Sharing Platform and Intelligent Transportation Optimization,"Yu, Haijun; Dai, Hongliang; Tian, Guangdong; Xie, Yinghao; Wu, Benben; Zhu, Ying; Li, Hongliang; Wu, Han",IEEE,2020
69,Big-Data-Technologien in der Fahrzeugentwicklung,"Abthoff, T.",Springer Science + Business Media,2016
70,Big-data-driven framework for intelligent textile manufacturing,"Zhang,  Jie; Lü,  Youlong; Wang,  Junliang; Wang,  Haichao",THE TEXTILE INDUSTRY PRESS,2017
71,Big-data analytics: a critical review and some future directions,"JovanoviÄ, UroÅ¡; Å timec, AleÅ¡; VladuÅ¡iÄ, Daniel; Papa, Gregor; Å ilc, Jurij",Inderscience,2015
72,Big-Data Science: Infrastructure Impact,"Monga, Inder; Prabhat,",INDIAN NATIONAL SCIENCE ACADEMY,2018
73,Big-data and machine learning to revamp computational toxicology and its use in risk assessment,"Luechtefeld, T.; Rowlands, C.; Hartung, T.",Royal Society of Chemistry,2018
74,Big-data analytics framework for incorporating smallholders in sustainable palm oil production,"Shukla, Manish; Tiwari, Manoj Kumar",Taylor & Francis,2017
75,Big-data-based technical framework of smart factory,"Lyu,  Youlong; Zhang,  Jie",EDITORIAL DEPARTMENT OF CIMS,2016
76,"Big-Data Analysis, Cluster Analysis, and Machine-Learning Approaches","Alonso-Betanzos, Amparo; Bolón-Canedo, Verónica",Kluwer Academic Publishers,2018
77,Big-Data and the Question of Horizontal and Vertical Intelligence: A Discussion on Disaster Management,"Benaben,  Frederick; Montarnal,  Aurelie; Fertier,  Audrey; Truptil,  Sebastien",Springer.,2016
78,Big-Data Mechanisms and Energy-Policy Design,"Pat,  Ankit; Larson,  Kate; Keshav,  Srinivasen",American Association for Artificial Intelligence,2016
79,Big-data business models: A critical literature review and multiperspective research framework,"Wiener, Martin; Saunders, Carol; Marabelli, Marco",Palgrave Macmillan,2020
80,Big-Data-Losungen fur Netzbetreiber Siemens und Teradata vereinbaren globale Zusammenarbeit,unknown,VDI VERLAG GMBH,2013
81,Big-Data-Ansätze in der Psychiatrie: Beispiele aus der Depressionsforschung,"Bzdok, D.; Karrer, T. M.; Habel, U.; Schneider, F.",Springer Nature,2017
82,Big-Data Cloud Services Platform for Growth Enterprises with Adaptive Exception Handling and Parallelized Data Mining,"Wen, Yazhi; Bo, Hu; Wen, Bin",Springer,2017
83,Big-data-driven safety decision-making: A conceptual framework and its influencing factors,"Huang, Lang; Wu, Chao; Wang, Bing; Ouyang, Qiumei","Elsevier Science B.V., Amsterdam.",2018
84,Big-Data Based Real-Time Interactive Growth Management System in Wireless Communications,"Kim, Jonghun; Jang, Heetae; Kim, Jong Tak; Pan, Hee-Jun; Park, Roy C.",Springer Nature,2018
85,"Big-Data - Theoretical, Engineering and Analytics Perspective","Agneeswaran, V.S.",SPRINGER-VERLAG,2012
86,Big-Data Streaming Applications Scheduling with Online Learning and Concept Drift Detection,"Kanoun, Karim; van der Schaar, Mihaela",IEEE Computer Society,2015
87,BIG DATA/BIG COMPUTE TECHNOLOGIES AND THE REALM OF POSSIBILITIES: The Emergence of Real-Time Risk Enterprises in the Capital Markets Industry,MAYIZ HABBAL,Institutional Investor,2014
88,Big-Data and Simulations of Social and Economic Systems-Prospect of Econophysics Study,"Takayasu, H.",JAPAN TECHNICAL INFORMATION SERVICE,2014
89,Big-Data Tensor Recovery for High-Dimensional Uncertainty Quantification of Process Variations,"Zhang, Z.; Weng, T.; Daniel, L.",IEEE,2017
90,Big-Data Validierungsplattform für Methoden zur (teil-) automatisierten Felddatenanalyse,"Kuschmieder, N.; Pasch, F.; Jochem, R.",Verein Deutscher Ingenieure,2019
91,Big-data analysis of phase-formation rules in high-entropy alloys,"Zhao, Wan-li; Miao, Ding-hao; Zhang, Yong; He, Zhan-bing","ELSEVIER SCIENCE B.V., AMSTERDAM",2017
92,Big-data-based edge biomarkers: study on dynamical drug sensitivity and resistance in individuals,"Zeng, T.; Zhang, W.; Yu, X.; Liu, X.; Li, M.; Chen, L.",Oxford University Press,2016
93,Big-Data Applications in the Government Sector,"Kim, G.-H.; Trimi, S.; Chung, J.-H.",ACM ASSOCIATION FOR COMPUTING MACHINERY,2014
94,Big-Data Approach for Three-Dimensional Building Extraction from Aerial Laser Scanning,"Aljumaily,  Harith; Laefer,  Debra F.; Cuadra,  Dolores",ASCE AMERICAN SOCIETY OF CIVIL ENGINEERS,2016
95,Big-data for building energy performance: Lessons from assembling a very large national database of building energy use,Paul A. Mathew; Laurel N. Dunn,ELSEVIER,2015
96,Big-Data Challenge Advances highlight big issues,unknown,BEIJING REVIEW,2014
97,"Big-Data Analytics Drives Parking Policy: Evaluating Adherence to Meter Time Limits in Washington, D.C","Liang,  Xiaomeng; Pérez,  Benito O.; Dey,  Soumya S.; Haney,  Heather; Kim,  Jasmin Y.","Washington, DC; National Academy Press; 1998",2016
98,Big-Data-Anwendungsfälle methodisch erarbeiten,"Franz, T.",Springer Science + Business Media,2015
99,Big-Data Visualization,"Keim, D.; Qu, H.; Ma, K. L.",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2013
100,Data Transfer Scheduling for Maximizing Throughput of Big-Data Computing in Cloud Systems,"Xie, R.; Jia, X.",IEEE,2018
1,Big-Data Reflection High Energy Electron Diffraction Analysis for Understanding Epitaxial Film Growth Processes,"Vasudevan, R.K.; Tselev, A.; Baddorf, A.P.; Kalinin, S.V.",AMERICAN CHEMICAL SOCIETY,2014
2,Big-Data-Based Intelligent Spectrum Sensing for Heterogeneous Spectrum Communications in 5G,"Liu, Xin; Sun, Qingquan; Lu, Weidang; Wu, Celimuge; Ding, Hua",IEEE,2020
3,"As Big-Data Companies Enter the Classroom, a Pioneer Issues a Warning","BLUMENSTYK, GOLDIE","Chronicle of higher education, etc ",2016
4,Persisting big-data: The NoSQL landscape,"Corbellini, Alejandro; Mateos, Cristian; Zunino, Alejandro; Godoy, Daniela; Schiaffino, Silvia","Elsevier Science B.V., Amsterdam.",2017
5,Mobile big-data-driven rating framework: measuring the relationship between human mobility and app usage behavior,"Qiao, Y.; Zhao, X.; Yang, J.; Liu, J.",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2016
6,Becoming data-savvy in a big-data world,"Xu, Meng; Rhee, Seung Yon","Elsevier Science B.V., Amsterdam.",2014
7,A big-data driven approach to analyzing and modeling human mobility trend under non-pharmaceutical interventions during COVID-19 pandemic,"Hu, Songhua; Xiong, Chenfeng; Yang, Mofeng; Younes, Hannah; Luo, Weiyu; Zhang, Lei","Elsevier Science B.V., Amsterdam",2021
8,Industrial big-data-driven and CPS-based adaptive production scheduling for smart manufacturing,"Qiao, Fei; Liu, Juan; Ma, Yumin",Taylor & Francis,2021
9,On-Line Big-Data Processing for Visual Analytics with Argus-Panoptes,"Vlantis, Panayiotis I.; Delis, Alex",Springer,2018
10,A big-data method to predict the targets of small molecules and accelerate drug discovery,"Madhukar, N.; Khade, P.; Huang, L.; Gayvert, K.; Paraskevi, G.; Elemento, O.","Elsevier Science B.V., Amsterdam.",2016
11,A big-data model for multi-modal public transportation with application to macroscopic control and optimisation,"Faizrahnemoon, Mahsa; Schlote, Arieh; Maggi, Lorenzo; Crisostomi, Emanuele; Shorten, Robert",Taylor & Francis,2015
12,A big-data analytics method for capturing visitor activities and flows: the case of an island country,"Miah, Shah Jahan; Vu, HuyQuan; Gammack, John",Springer Nature,2019
13,Der Big-Data-Kunde,unknown,VERLAGSGRUPPE HANDELSBLATT,2017
14,Interaktive Big-Data-Analytik in der Motorenentwicklung,"Abthoff, Tobias",FRANCKH KOSMOS VERLAGS GMBH UND CO,2016
15,Social Big-Data driven Tourism Policy-Making Support System,一藤 裕; 曽根原 登,システム制御情報學會,2016
16,"A big-data analysis of political rhetoric relating the developments of the United States, China, and global powers","Carter, Patrick; Wang, Jeffrie; Chau, Davis",Emerald Publishing,2020
17,"Real-world big-data studies in laboratory medicine: Current status, application, and future considerations","Ma, Chaochao; Wang, Xinlu; Wu, Jie; Cheng, Xinqi; Xia, Liangyu; Xue, Fang; Qiu, Ling","Elsevier Science B.V., Amsterdam.",2020
18,BIFM: Big-Data Driven Intelligent Forecasting Model for COVID-19,"Dash, Sujata; Chakraborty, Chinmay; Giri, Sourav Kumar; Pani, Subhendu Kumar; Frnda, Jaroslav",IEEE,2021
19,Distributed Big-Data Optimization via Blockwise Gradient Tracking,"Notarnicola, Ivano; Sun, Ying; Scutari, Gesualdo; Notarstefano, Giuseppe",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2021
20,"A Big-Data Approach to Understanding the Thematic Landscape of the Field of Business Ethics, 1982–2016","Liu, Ying; Mai, Feng; MacDonald, Chris",Springer Nature,2018
21,Streetlytics: Big-Data for Real Estate Market Analysis,"Thrall,  Grant",unknown,2015
22,A Big-Data-based platform of workers’ behavior: Observations from the field,"Guo, S.Y.; Ding, L.Y.; Luo, H.B.; Jiang, X.Y.","Elsevier Science B.V., Amsterdam.",2016
23,Selbstlernende Big-Data-Analysen für intelligentes Energiemanagement,"Hilt, B.",Springer Science + Business Media,2015
24,A big-data oriented recommendation method based on multi-objective optimization,"Xu, Chonghuan","Elsevier Science B.V., Amsterdam.",2019
25,Social Big-Data-Based Content Dissemination in Internet of Vehicles,"Zhou, Z.; Gao, C.; Xu, C.; Zhang, Y.; Mumtaz, S.; Rodriguez, J.",IEEE,2018
26,A Big-Data Analysis of Disaster Information Dissemination in South Korea,"Hwang, Yongsuk; Jeong, Jaekwan; Jin, Eun-Hyeong; Yu, Hee Ra; Jung, Dawoon",Springer,2018
27,Sears' Big-Data Strategy? Just a Service Call Away,"Wahba, Phil",Time Inc.,2015
28,A Big-Data-based platform of workers' behavior: Observations from the field,"Guo, S.Y.; Ding, L.Y.; Luo, H.B.; Jiang, X.Y.","Elsevier Science B.V., Amsterdam.",2016
29,A Big-Data-Analytics System for Supporting Decision Making Processes in Complex Smart-City Applications,"Cuzzocrea, Alfredo; Nolich, Massimiliano; Ukovich, Walter",Springer,2019
30,A big–data security mechanism based on fully homomorphic encryption using cubic spline curve public key cryptography,"Krishna, Addepalli V. N.",Taylor and Francis,2018
31,Geographic big-data: A new opportunity for geography complexity study,"Cheng, Changxiu; Shi, Peijun; Song, Changqing",SCIENCE PRESS,2018
32,"The big-data jobs outlook is encouraging. | GM plans to hire 3,000 HP employees",unknown,CW COMMUNICATIONS INC.,2012
33,Applying big-data technologies to network architecture,unknown,L M ERICSSON,2012
34,"A Big-Data Perspective on AI: Newton, Merton, and Analytics Intelligence","Wang, F. Y.",COMPUTER SOCIETY,2012
35,A big-data analysis of human-nature relations in newspaper coverage,"Jaung, Wanggi; Carrasco, L. Roman","Elsevier Science B.V., Amsterdam.",2022
36,Using Big-data and Surface Fitting to Improve Aircraft Safety Through the Study of Relationships and Anomalies,"Wooder, Duncan; Purvis, Alan; McWilliam, Richard","Elsevier Science B.V., Amsterdam",2017
37,"Recent Big-Data Struggles Are 'Birthing Pains,' Researchers Say.","PARRY, MARC.","Chronicle of higher education, etc",2014
38,Ecology Big-data approaches lead to an increased understanding of the ecology of animal movement,"Nathan, R.",AMERICAN ASSOCIATION FOR THE ADVANCEMENT OF SCIENCE,2022
39,A Big-Data Approach to Contemporary French Politics,"Sobanet, Andrew; Singh, Lisa",Taylor & Francis,2020
40,"The Big-Data-Driven Intelligent Wireless Network: Architecture, Use Cases, Solutions, and Future Trends","I, C.; Sun, Q.; Liu, Z.; Zhang, S.; Han, S.","Institute of Electrical and Electronics Engineers, Inc.",2017
41,Using Big-data and Surface Fitting to Improve Aircraft Safety Through the Study of Relationships and Anomalies,"Wooder, Duncan; Purvis, Alan; McWilliam, Richard","Elsevier Science B.V., Amsterdam",2017
42,Dynamic Big-Data Broadcast in Fat-Tree Data Center Networks With Mobile IoT Devices,unknown,THE INSTITUTE OF ELECTRICAL AND ELECTRONICS AND ELECTRONICS ENGINEERS,2019
43,"A big-data spatial, temporal and network analysis of bovine tuberculosis between wildlife (badgers) and cattle","Moustakas, A.; Evans, M. R.",Springer Science + Business Media,2017
44,Genomics 3.0: Big-Data in Precision Medicine,"Talukder,  Asoke K.",Springer,2015
