,title,description,originallink,link
740,박은빈 1위… 동창 증언 ‘눈길’,"2022년 7월 스타 브랜드평판 30위 순위는 박은빈, 손흥민, 임영웅, 김연아, 손석구, <b>아이유</b>, 블랙핑크, 방탄소년단, 싸이, 강태오, 유재석, 트와이스, (여자)아이들, 이찬원, 세븐틴, 김호중, 강다니엘, NCT, 류현진, 소녀시대... ",http://www.newscj.com/article/20220731580267,http://www.newscj.com/article/20220731580267
741,"한국철도 울산역, 현악 선율로 고객 발길 사로잡아","이날 오후 5시 익숙한 동요 메들리로 첫 시작을 알린 연주단은 가수 <b>아이유</b>의 ‘드라마’, 아침에 부르는 사랑의 노래인 ‘마티나타(Mattinata)’, 1897년도에 작곡된 왈츠풍의 ‘JE TE VEUX’ 등 사랑풍의 노래로 관심을... ",http://www.lawissue.co.kr/view.php?ud=2022073116383252659a8c8bf58f_12,http://www.lawissue.co.kr/view.php?ud=2022073116383252659a8c8bf58f_12
742,"&quot;이효리가 자기 이용하라고&quot; 윤혜진♥엄태웅, 제주에서 &apos;귀인&apos; 만났네 [종합...","과거 JTBC 예능 프로그램 &apos;효리네 민박&apos;에서 가수 <b>아이유</b>와 함께 방문했던 숍들을 윤혜진 가족과 방문하기도. 이에 윤혜진이 &quot;지금 <b>아이유</b> 체험 하고 있는 거다&quot;라고 말하자, 이효리는 &quot;이런 거 해주고 내가 돈(커미션) 받는... ",http://www.osen.co.kr/article/G1111908677,https://n.news.naver.com/mnews/article/109/0004669067?sid=106
743,한국철도 울산역 &quot;현악 선율로 고객 발길을 사로잡다&quot;,"듀엣으로 영원히 사랑해 를 열창하고 있는 바리톤 한유랑과 여성 단원 모습 오후 5시가 되자 익숙한 동요 메들리로 첫 시작을 알린 연주단은 이어 가수 <b>아이유</b>의 &apos;드라마&apos;, 아침에 부르는 사랑의 노래인 &apos;마티나타... ",https://www.gukjenews.com/news/articleView.html?idxno=2519759,https://www.gukjenews.com/news/articleView.html?idxno=2519759
744,"박은빈 1위, 요즘 대세의 위엄...새롭게 포함","2022년 7월 스타 브랜드평판 30위 순위는 박은빈, 손흥민, 임영웅, 김연아, 손석구, <b>아이유</b>, 블랙핑크, 방탄소년단, 싸이, 강태오, 유재석, 트와이스, (여자)아이들, 이찬원, 세븐틴, 김호중, 강다니엘, NCT... ",http://www.cbci.co.kr/news/articleView.html?idxno=430750,http://www.cbci.co.kr/news/articleView.html?idxno=430750
745,마사지 받다가 &apos;유레카&apos;…연대 중퇴생 1000억 벌어들인 비결,"<b>아이유</b> 옷으로 잘 알려진 ‘널디’를 비롯해 화장품 브랜드 ‘메디큐브’와 ‘에이프릴’, 최근 건기식 사업까지 영역을 넓혀가며 지난 10년 간 회사규모를 10배 이상 키웠다. 2014년 100억원대에 불과하던 매출은... ",https://www.hankyung.com/economy/article/202207316211i,https://n.news.naver.com/mnews/article/015/0004731066?sid=101
746,"“이효리가 자기 이용해 먹으라고” 윤혜진♥엄태웅, 제주서 절친 부부 만났다",윤혜진이 “오빠(엄태웅)가 좋아하는 ‘효리네 민박’의 <b>아이유</b>씨가 왔던 빈티지샵이다. 거기에서 지금 효리가 <b>아이유</b> 체험 시켜주고 있다”라고 말하자 이효리는 “이렇게 지인들을 소개시켜주고 나는 커미션을 받고... ,http://www.segye.com/content/html/2022/07/31/20220731509672.html?OutUrl=naver,https://n.news.naver.com/mnews/article/022/0003720608?sid=106
747,"박은빈, 스타 브랜드평판 7월 1위…손흥민·임영웅보다 앞섰다","2022년 7월 스타 브랜드평판 30위 순위는 박은빈, 손흥민, 임영웅, 김연아, 손석구, <b>아이유</b>, 블랙핑크, 방탄소년단, 싸이, 강태오, 유재석, 트와이스, (여자)아이들, 이찬원, 세븐틴, 김호중, 강다니엘, NCT, 류현진... ",http://mksports.co.kr/view/2022/673196/,https://n.news.naver.com/mnews/article/410/0000885281?sid=106
748,"박은빈 1위, ‘이상한 변호사 우영우’ 신드롬에 스타 브랜드평판 껑충","2022년 7월 스타 브랜드평판 30위 순위는 박은빈, 손흥민, 임영웅, 김연아, 손석구, <b>아이유</b>, 블랙핑크, 방탄소년단, 싸이, 강태오, 유재석, 트와이스, (여자)아이들, 이찬원, 세븐틴, 김호중, 강다니엘, NCT, 류현진... ",http://star.mbn.co.kr/view.php?year=2022&no=673190&refer=portal,https://n.news.naver.com/mnews/article/057/0001680573?sid=106
749,"‘우영우’ 효과...박은빈, 손흥민 제치고 스타 브랜드 1위","2022년 7월 스타 브랜드평판 30위 순위는 박은빈, 손흥민, 임영웅, 김연아, 손석구, <b>아이유</b>, 블랙핑크, 방탄소년단, 싸이, 강태오, 유재석, 트와이스, (여자)아이들, 이찬원, 세븐틴, 김호중... ",http://www.newstomato.com/ReadNews.aspx?no=1138196&inflow=N,http://www.newstomato.com/ReadNews.aspx?no=1138196&inflow=N
750,"‘이상한 변호사 우영우’ 박은빈 1위, 스타 브랜드평판 접수..2위 손흥민-3위...","스타 브랜드평판 2022년 7월 빅데이터 분석 100위는 박은빈, 손흥민, 임영웅, 김연아, 손석구, <b>아이유</b>, 블랙핑크, 방탄소년단, 싸이, 강태오, 유재석, 트와이스, (여자)... ",http://www.breaknews.com/912896,http://www.breaknews.com/912896
751,"임영웅, 박은빈·손흥민 이어 7월 스타 브랜드 평판 톱3","스타 브랜드평판 2022년 7월 빅데이터 분석 100위는 박은빈, 손흥민, 임영웅, 김연아, 손석구, <b>아이유</b>, 블랙핑크, 방탄소년단, 싸이, 강태오, 유재석, 트와이스, (여자)아이들, 이찬원, 세븐틴, 김호중, 강다니엘, NCT... ",http://woman.chosun.com/news/articleView.html?idxno=101103,http://woman.chosun.com/news/articleView.html?idxno=101103
752,"&apos;우영우&apos; 박은빈, 7월 스타 브랜드평판 1위....2위 손흥민·3위 임영웅","한편, 이번 브랜드평판 상위 30위에는 박은빈, 손흥민, 임영웅에 이어 김연아, 손석구, <b>아이유</b>, 블랙핑크, 방탄소년단, 싸이, 강태오, 유재석, 트와이스, (여자)아이들, 이찬원, 세븐틴, 김호중, 강다니엘, NCT, 류현진... ",https://www.gukjenews.com/news/articleView.html?idxno=2519708,https://www.gukjenews.com/news/articleView.html?idxno=2519708
753,&quot;1위 박은빈→손흥민→임영웅&quot;…스타 브랜드평판 결과는?,"2022년 7월 스타 브랜드평판 30위 순위는 박은빈, 손흥민, 임영웅, 김연아, 손석구, <b>아이유</b>, 블랙핑크, 방탄소년단, 싸이, 강태오, 유재석, 트와이스, (여자)아이들, 이찬원, 세븐틴, 김호중, 강다니엘, NCT, 류현진... ",http://daily.hankooki.com/news/articleView.html?idxno=854391,http://daily.hankooki.com/news/articleView.html?idxno=854391
754,"박은빈, 7월 스타 브랜드평판 1위 차지","2022년 7월 스타 브랜드평판 30위 순위는 박은빈, 손흥민, 임영웅, 김연아, 손석구, <b>아이유</b>, 블랙핑크, 방탄소년단, 싸이, 강태오, 유재석, 트와이스, (여자)아이들, 이찬원, 세븐틴, 김호중, 강다니엘, NCT, 류현진... ",http://www.stardailynews.co.kr/news/articleView.html?idxno=327422,http://www.stardailynews.co.kr/news/articleView.html?idxno=327422
755,제주서 윤혜진 가족 만난 이효리…&quot;날 이용해 먹어&quot;,윤혜진은 &quot;오빠(엄태웅)가 좋아하는 &apos;효리네 민박&apos;의 <b>아이유</b>씨가 왔던 빈티지샵이다. 거기에서 지금 효리가 <b>아이유</b> 체험 시켜주고 있다&quot;라고 설명했다. 이에 이효리는 &quot;이렇게 지인들을 이곳에 소개해 주고 나는 커미션... ,https://www.news1.kr/articles/4758837,https://n.news.naver.com/mnews/article/421/0006250848?sid=106
756,"박은빈, 손흥민·임영웅 제쳤다…스타 브랜드평판 1위","4위부터 30위는 김연아, 손석구, <b>아이유</b>, 블랙핑크, 방탄소년단, 싸이, 강태오, 유재석, 트와이스, (여자)아이들, 이찬원, 세븐틴, 김호중, 강다니엘, NCT, 류현진, 소녀시대, 에스파, 이효리, 영탁, 태연, 이상민, 백종원... ",http://www.mediapen.com/news/view/742638,http://www.mediapen.com/news/view/742638
757,"박은빈, &apos;이상한 변호사 우영우&apos; 열풍! 7월 스타 브랜드평판 1위…손흥민, 임...","2022년 7월 스타 브랜드평판 30위 순위는 박은빈, 손흥민, 임영웅, 김연아, 손석구, <b>아이유</b>, 블랙핑크, 방탄소년단, 싸이, 강태오, 유재석, 트와이스, (여자)아이들, 이찬원, 세븐틴, 김호중, 강다니엘, NCT, 류현진... ",https://www.bntnews.co.kr/article/view/bnt202207310003,https://www.bntnews.co.kr/article/view/bnt202207310003
758,"박은빈, 7월 스타 브랜드평판 1위…손흥민·임영웅 꺾었다","7월 스타 브랜드평판 30위 순위는 박은빈, 손흥민, 임영웅, 김연아, 손석구, <b>아이유</b>, 블랙핑크, 방탄소년단, 싸이, 강태오, 유재석, 트와이스, (여자)아이들, 이찬원, 세븐틴, 김호중, 강다니엘, NCT, 류현진... ",http://www.stoo.com/article.php?aid=81698874580,http://www.stoo.com/article.php?aid=81698874580
759,"손흥민·임영웅도 제쳤다…박은빈, 7월 브랜드 평판 1위","2022년 7월 스타 브랜드 평판 30위 순위는 박은빈, 손흥민, 임영웅, 김연아, 손석구, <b>아이유</b>, 블랙핑크, 방탄소년단, 싸이, 강태오, 유재석, 트와이스, (여자)아이들, 이찬원, 세븐틴, 김호중, 강다니엘, NCT, 류현진... ",https://ent.sbs.co.kr/news/article.do?article_id=E10010255150&plink=ORI&cooper=NAVER,https://n.news.naver.com/mnews/article/416/0000286024?sid=106
760,"박은빈, &apos;우영우&apos; 신드롬→스타 브랜드평판 1위","7월 스타 브랜드평판 30위 순위는 박은빈, 손흥민, 임영웅, 김연아, 손석구, <b>아이유</b>, 블랙핑크, 방탄소년단, 싸이, 강태오, 유재석, 트와이스, (여자)아이들, 이찬원, 세븐틴, 김호중, 강다니엘, NCT, 류현진... ",http://www.tvdaily.co.kr/read.php3?aid=16592280351648099002,http://www.tvdaily.co.kr/read.php3?aid=16592280351648099002
