,title,description,originallink,link,pubDate
425,"&apos;<b>손흥민</b> 80분&apos; 토트넘, 첼시와 2-2 무승부…케인 극적 동점골",사우샘프턴과의 개막전에서 1도움을 기록했던 <b>손흥민</b>은 2경기 연속 선발 출전해 80분간 그라운드를 누볐지만... <b>손흥민</b>은 전반 40분 속도를 올리며 역습에 나섰지만 첼시 수비수 리스 제이미가 옐로카드를 감수하는... ,http://www.inews24.com/view/1510333,https://sports.news.naver.com/news.nhn?oid=031&aid=0000691755,"Mon, 15 Aug 2022 02:34:00 +0900"
426,"<b>손흥민</b>의 침묵·케인의 극장골…토트넘, 첼시와 2대2 무승부","<b>손흥민</b>(30, 토트넘 홋스퍼)이 침묵했다. <b>손흥민</b>은 15일(한국시간) 영국 런던 스탬퍼드 브리지에서 열린 2022-2023시즌 잉글랜드 프리미어리그 2라운드 첼시와 원정 경기에 선발 출전했다. 하지만 공격 포인트 없이 후반 34분... ",https://www.nocutnews.co.kr/news/5801937,https://sports.news.naver.com/news.nhn?oid=079&aid=0003674709,"Mon, 15 Aug 2022 02:32:00 +0900"
427,"<b>손흥민</b>, 실점 상황 명백한 실수… 쿨리발리로 가는 공을 막았더라면[스한 스틸...", <b>손흥민</b>(30·토트넘 홋스퍼)이 코너킥 수비 실수로 실점의 빌미를 제공했다. 토트넘은 결국 승리를 거두지 못했다. 선제골 실점 후 망연자실한 표정의 <b>손흥민</b>. ⓒAFPBBNews = News1 토트넘은 15일(이하 한국시간) 오전 12시... ,http://sports.hankooki.com/news/articleView.html?idxno=6804623,http://sports.hankooki.com/news/articleView.html?idxno=6804623,"Mon, 15 Aug 2022 02:32:00 +0900"
428,"&apos;회심의 왼발&apos; <b>손흥민</b>, 첼시전 굴욕 분위기 속 &apos;공격 엔진&apos;…극적 무승부 기여",토트넘 <b>손흥민</b>(오른쪽)이 15일 오전(한국시간) 영국 런던 스탬포드브릿지에서 열린 2022~2023시즌 잉글랜드... 런던 | AP연합뉴스 <b>손흥민</b>(30)이 첼시 원정에서 굴욕적으로 밀리던 토트넘의 반전 구실을 했다. 팀은 극적인 2-2... ,http://www.sportsseoul.com/news/read/1150818?ref=naver,https://sports.news.naver.com/news.nhn?oid=468&aid=0000873697,"Mon, 15 Aug 2022 02:32:00 +0900"
429,"‘케인 극적인 동점골’ 토트넘, 첼시왕 2-2 무...‘<b>손흥민</b> 79분’","<b>손흥민</b>-해리 케인-데얀 쿨루셉스키, 라이언 세세뇽-피에르 에밀 호이비에르-로드리고 벤탄쿠르-에메르송... 후반 2분 케인의 패스를 받은 <b>손흥민</b>이 뒷공간 돌파 후 슈팅을 시도했으나 골키퍼 선방에 막혔다. 이어 교체... ",http://sports.khan.co.kr/news/sk_index.html?art_id=202208150231003&sec_id=520101&pt=nv,https://sports.news.naver.com/news.nhn?oid=144&aid=0000831010,"Mon, 15 Aug 2022 02:32:00 +0900"
430,"[S코어북] &apos;SON 득점 관여+케인 추가시간 동점골&apos; 토트넘, 첼시에 2-2 무승부",후반 초반 <b>손흥민</b>의 슛이 터졌다. 후반 3분 케인이 골문으로 쇄도하는 <b>손흥민</b>을 향해 로빙패스했다. 이를 <b>손흥민</b>이 잡아 넘어지며 슈팅했지만 멘디 골키퍼가 막아냈다. 후반 13분 토트넘이 수비수 세세뇽을 빼고 공격수... ,http://www.stnsports.co.kr/news/articleView.html?idxno=153439,https://sports.news.naver.com/news.nhn?oid=450&aid=0000086753,"Mon, 15 Aug 2022 02:32:00 +0900"
431,"&apos;케인 극장 동점골&apos; 토트넘, 첼시와 2-2 무 [PL 2R 리뷰]","라이언 세세뇽, 피에르 에밀 호이비에르, 로드리고 벤탄쿠르, 에메르송이 중원을 구축했고, <b>손흥민</b>, 해리... <b>손흥민</b>의 공을 뺏고 시작된 첼시 공격에서 스털링의 패스를 받은 하베르츠가 골문 구석을 노려 슈팅 했고... ",https://www.xportsnews.com/article/1617958,https://sports.news.naver.com/news.nhn?oid=311&aid=0001488792,"Mon, 15 Aug 2022 02:31:00 +0900"
432,"&apos;80분 출전→침묵&apos; <b>손흥민</b>, 평점 6.4점...&apos;SON 답지 않은 경기력&apos;","<b>손흥민</b>이 침묵 속에 후반전에 교체됐다. 토트넘 홋스퍼와 첼시는 15일 오전 0시 30분(한국시간) 영국... <b>손흥민</b>은 해리 케인, 데얀 클루셉스키와 함께 선발로 출전해 토트넘의 공격을 책임졌다. 80분 동안 그라운드를... ",http://www.sportalkorea.com/news/view.php?gisa_uniq=2022081502301520&section_code=20&cp=se&sp=A,https://sports.news.naver.com/news.nhn?oid=139&aid=0002171321,"Mon, 15 Aug 2022 02:31:00 +0900"
433,"[리뷰] &apos;케인 추가시간 동점골&apos; 토트넘, 천적 첼시와 2-2 무승부","토트넘은 <b>손흥민</b>, 해리 케인, 데얀 쿨루세브스키 스리톱을 세웠다. 로드리고 벤탄쿠르와 피에르에밀... 전반 41분 세트피스 수비에 성공한 뒤 <b>손흥민</b>이 공을 몰고 역습에 나섰다. 한 명 돌파하고 본격적으로 속도를... ",http://www.footballist.co.kr/news/articleView.html?idxno=154131,https://sports.news.naver.com/news.nhn?oid=436&aid=0000062074,"Mon, 15 Aug 2022 02:30:00 +0900"
434,"[PL REVIEW] &apos;케인 극장골&apos; 토트넘, 첼시와 2-2 극적인 무승부","<b>손흥민</b>, 해리 케인, 데얀 쿨루셉스키가 스리톱을 이뤘고 피에르-에밀 호이비에르, 로드리고 벤탄쿠르... 전반 41분 <b>손흥민</b>이 역습 과정에서 단독 드리블을 펼쳤다. 과거 번리전 득점이 떠오르는 순간이었다. 첼시는... ",https://www.spotvnews.co.kr/news/articleView.html?idxno=542849,https://sports.news.naver.com/news.nhn?oid=477&aid=0000376274,"Mon, 15 Aug 2022 02:28:00 +0900"
435,"&apos;<b>손흥민</b> 80분·케인 극장 동점골&apos; 토트넘, 첼시와 2-2 무승부"," <b>손흥민</b>(30·토트넘 홋스퍼)이 풀타임을 소화한 가운데, 토트넘이 첼시와 비겼다. 토트넘은 15일(이하... 관심을 모았던 <b>손흥민</b>은 선발출전해 80분을 소화했지만 공격포인트를 올리는 데 실패했다. ⓒAFPBBNews = News1 먼저... ",http://sports.hankooki.com/news/articleView.html?idxno=6804622,http://sports.hankooki.com/news/articleView.html?idxno=6804622,"Mon, 15 Aug 2022 02:28:00 +0900"
436,"결정적 역습기회서 대놓고 SON 잡아끈 제임스, 원더골 트라우마?[첼시-토트넘...","<b>손흥민</b>(토트넘 훗스퍼)의 부스터가 ON됐고 마치 &apos;푸스카스상&apos;을 안긴 번리전골을 기대해볼만한 장면이었다. 그때 뒤에서 첼시의 수비수 리스 제임스가 대놓고, 그리고 옐로카드를 감수하고 <b>손흥민</b>을 잡아끌어 반칙을... ",http://sports.hankooki.com/news/articleView.html?idxno=6804627,http://sports.hankooki.com/news/articleView.html?idxno=6804627,"Mon, 15 Aug 2022 02:28:00 +0900"
437,"&apos;케인 극장골&apos; 토트넘, 첼시와 2-2 무승부...맞대결 5연패 탈출 [경기종료]","<b>손흥민</b>을 필두로 해리 케인과 데얀 쿨루셉스키, 라이언 세세뇽, 로드리고 벤탄쿠르, 피에르-에밀 호이비에르... 후반 2분 케인이 첼시 수비 뒷공간으로 패스를 뿌렸고 <b>손흥민</b>이 빠른 속도를 자랑하며 공을 받아냈다.... ",http://www.osen.co.kr/article/G1111919656,https://sports.news.naver.com/news.nhn?oid=109&aid=0004678734,"Mon, 15 Aug 2022 02:28:00 +0900"
